Country,gender,median_income,Multiplier
Australia,[1]male,75863.7,
Australia,[2]female,52609.26,0.6934707904
Austria,[1]male,26134.8,
Austria,[2]female,20527.37,0.785442016
Belgium,[1]male,37164.2,
Belgium,[2]female,33000.67,0.8879693361
Brazil,[1]male,40000,
Brazil,[2]female,24000,0.6
Canada,[1]male,62500,
Canada,[2]female,48250,0.772
China,[1]male,72000,
China,[2]female,60000,0.8333333333
Colombia,[1]male,18000000,
Colombia,[2]female,12960000,0.72
Denmark,[1]male,409357,
Denmark,[2]female,352528,0.8611749646
France,[1]male,33671.58,
France,[2]female,28181.16,0.8369420146
Germany,[1]male,37400,
Germany,[2]female,21973.5,0.587526738
Georgia,[1]male,5562,
Georgia,[2]female,2028,0.3646170442
Ireland,[1]male,46180,
Ireland,[2]female,32360,0.7007362495
Israel,[1]male,93528,
Israel,[2]female,60564,0.647549397
Japan,[1]male,3355000,
Japan,[2]female,600000,0.1788375559
Lithuania,[1]male,11362.01,
Lithuania,[2]female,8535.36,0.7512191945
Luxembourg,[1]male,66247.71,
Luxembourg,[2]female,39427.32,0.5951499305
Mali,[1]male,1585000,
Mali,[2]female,0,0
Mexico,[1]male,124250.8,
Mexico,[2]female,86566.68,0.6967092365
Netherlands,[1]male,47723,
Netherlands,[2]female,28674,0.6008423611
Norway,[1]male,566039,
Norway,[2]female,476816,0.842373052
Paraguay,[1]male,45291596,
Paraguay,[2]female,36000000,0.7948494462
Peru,[1]male,19189.5,
Peru,[2]female,12418.5,0.6471507856
Poland,[1]male,34800,
Poland,[2]female,22712.64,0.652662069
Romania,[1]male,50400,
Romania,[2]female,45435.89,0.901505754
Russia,[1]male,463218.41,
Russia,[2]female,296758.62,0.6406451333
Serbia,[1]male,600000,
Serbia,[2]female,492000,0.82
Slovakia,[1]male,5227.17,
Slovakia,[2]female,6000,1.147848645
Spain,[1]male,26664.7,
Spain,[2]female,19989.35,0.7496559121
Sweden,[1]male,414901.5,
Sweden,[2]female,358125,0.8631566769
Taiwan,[1]male,481000,
Taiwan,[2]female,386000,0.8024948025
United Kingdom,[1]male,29887.45,
United Kingdom,[2]female,19104.32,0.6392087649
United States,[1]male,60000,
United States,[2]female,36000,0.6
Uruguay,[1]male,720000,
Uruguay,[2]female,480000,0.6666666667